证券代码,code,综合估值
000004.SZ,000004,高估
000028.SZ,000028,低估
000150.SZ,000150,低估
000153.SZ,000153,高估
000403.SZ,000403,高估
000411.SZ,000411,低估
000423.SZ,000423,低估
000513.SZ,000513,低估
000518.SZ,000518,高估
000538.SZ,000538,高估
000566.SZ,000566,低估
000590.SZ,000590,低估
000597.SZ,000597,高估
000623.SZ,000623,低估
000638.SZ,000638,高估
000650.SZ,000650,低估
000661.SZ,000661,高估
000705.SZ,000705,低估
000710.SZ,000710,高估
000739.SZ,000739,正常
000788.SZ,000788,高估
000790.SZ,000790,高估
000813.SZ,000813,低估
000908.SZ,000908,高估
000915.SZ,000915,低估
000919.SZ,000919,低估
000931.SZ,000931,低估
000952.SZ,000952,高估
000963.SZ,000963,低估
000989.SZ,000989,低估
000999.SZ,000999,低估
002001.SZ,002001,低估
002007.SZ,002007,低估
002019.SZ,002019,高估
002020.SZ,002020,低估
002022.SZ,002022,低估
002030.SZ,002030,高估
002038.SZ,002038,高估
002044.SZ,002044,高估
002099.SZ,002099,高估
002102.SZ,002102,高估
002107.SZ,002107,高估
002118.SZ,002118,低估
002173.SZ,002173,低估
002198.SZ,002198,高估
002219.SZ,002219,高估
002223.SZ,002223,正常
002252.SZ,002252,高估
002262.SZ,002262,高估
002275.SZ,002275,低估
002287.SZ,002287,低估
002294.SZ,002294,低估
002317.SZ,002317,正常
002332.SZ,002332,高估
002349.SZ,002349,低估
002365.SZ,002365,低估
002370.SZ,002370,高估
002382.SZ,002382,高估
002393.SZ,002393,低估
002399.SZ,002399,低估
002411.SZ,002411,高估
002412.SZ,002412,低估
002422.SZ,002422,低估
002424.SZ,002424,低估
002432.SZ,002432,高估
002433.SZ,002433,低估
002435.SZ,002435,低估
002437.SZ,002437,高估
002462.SZ,002462,低估
002550.SZ,002550,低估
002551.SZ,002551,高估
002562.SZ,002562,高估
002566.SZ,002566,低估
002581.SZ,002581,低估
002589.SZ,002589,低估
002603.SZ,002603,低估
002626.SZ,002626,低估
002644.SZ,002644,低估
002653.SZ,002653,高估
002675.SZ,002675,低估
002680.SZ,002680,低估
002688.SZ,002688,低估
002693.SZ,002693,低估
002727.SZ,002727,低估
002728.SZ,002728,正常
002750.SZ,002750,正常
002755.SZ,002755,高估
002758.SZ,002758,高估
002773.SZ,002773,正常
002817.SZ,002817,正常
300003.SZ,300003,低估
300006.SZ,300006,高估
300009.SZ,300009,高估
300016.SZ,300016,低估
300026.SZ,300026,高估
300030.SZ,300030,高估
300039.SZ,300039,低估
300049.SZ,300049,低估
300086.SZ,300086,低估
300108.SZ,300108,正常
300119.SZ,300119,低估
300122.SZ,300122,高估
300143.SZ,300143,高估
300147.SZ,300147,高估
300149.SZ,300149,低估
300158.SZ,300158,低估
300181.SZ,300181,低估
300194.SZ,300194,低估
300199.SZ,300199,高估
300204.SZ,300204,低估
300206.SZ,300206,低估
300233.SZ,300233,低估
300238.SZ,300238,高估
300239.SZ,300239,低估
300244.SZ,300244,高估
300246.SZ,300246,高估
300253.SZ,300253,高估
300254.SZ,300254,低估
300255.SZ,300255,低估
300267.SZ,300267,低估
300273.SZ,300273,高估
300294.SZ,300294,低估
300298.SZ,300298,低估
300314.SZ,300314,低估
300318.SZ,300318,正常
300347.SZ,300347,高估
300357.SZ,300357,正常
300358.SZ,300358,正常
300363.SZ,300363,正常
300381.SZ,300381,正常
300396.SZ,300396,正常
300401.SZ,300401,正常
300404.SZ,300404,高估
300406.SZ,300406,正常
300436.SZ,300436,正常
300439.SZ,300439,正常
300451.SZ,300451,高估
300452.SZ,300452,正常
300453.SZ,300453,正常
300463.SZ,300463,正常
300482.SZ,300482,正常
300485.SZ,300485,正常
300497.SZ,300497,正常
300519.SZ,300519,正常
300529.SZ,300529,正常
300534.SZ,300534,正常
300550.SZ,300550,高估
300558.SZ,300558,正常
600062.SH,600062,低估
600079.SH,600079,低估
600080.SH,600080,正常
600090.SH,600090,低估
600161.SH,600161,低估
600196.SH,600196,低估
600216.SH,600216,低估
600222.SH,600222,高估
600227.SH,600227,低估
600285.SH,600285,低估
600299.SH,600299,高估
600329.SH,600329,低估
600332.SH,600332,高估
600380.SH,600380,低估
600422.SH,600422,高估
600479.SH,600479,正常
600518.SH,600518,低估
600538.SH,600538,正常
600557.SH,600557,高估
600566.SH,600566,低估
600624.SH,600624,高估
600645.SH,600645,低估
600664.SH,600664,低估
600713.SH,600713,低估
600750.SH,600750,低估
600771.SH,600771,高估
600812.SH,600812,低估
600829.SH,600829,低估
600833.SH,600833,高估
600867.SH,600867,高估
600896.SH,600896,高估
600993.SH,600993,低估
600998.SH,600998,低估
603168.SH,603168,正常
603368.SH,603368,低估
603566.SH,603566,低估
603658.SH,603658,正常
603883.SH,603883,高估
603939.SH,603939,高估
