证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
000004.SZ,000004,2.5,1.5,1.5,5.0,4.0,1.5,2.0
000028.SZ,000028,5.0,5.0,4.5,1.0,3.5,5.0,2.5
000078.SZ,000078,2.0,3.5,0.5,4.5,4.0,2.0,4.5
000150.SZ,000150,2.0,4.0,1.5,3.5,1.0,2.0,4.0
000153.SZ,000153,2.0,3.5,1.5,3.5,3.5,2.5,2.0
000403.SZ,000403,2.0,3.5,2.0,2.5,2.5,0.5,2.5
000411.SZ,000411,4.0,4.5,1.0,4.5,5.0,4.5,3.5
000423.SZ,000423,5.0,5.0,5.0,0.5,1.0,5.0,1.5
000513.SZ,000513,5.0,4.5,5.0,0.5,1.5,5.0,2.0
000516.SZ,000516,5.0,3.5,5.0,0.5,2.5,0.5,2.0
000518.SZ,000518,4.5,1.0,3.0,5.0,1.0,0.5,0.5
000538.SZ,000538,5.0,5.0,5.0,0.5,1.5,5.0,2.0
000566.SZ,000566,1.5,2.0,2.0,2.0,1.5,1.5,3.5
000590.SZ,000590,0.5,0.5,2.0,2.0,2.0,1.5,2.0
000597.SZ,000597,2.0,3.5,1.0,4.0,2.5,3.0,4.0
000623.SZ,000623,5.0,4.0,5.0,0.5,0.5,5.0,1.5
000638.SZ,000638,0.5,1.5,0.5,3.0,1.5,1.0,4.0
000650.SZ,000650,3.0,1.5,4.0,1.0,4.5,1.0,1.0
000661.SZ,000661,5.0,5.0,5.0,0.5,0.5,5.0,3.5
000705.SZ,000705,2.0,2.5,2.0,2.0,4.0,2.5,0.5
000710.SZ,000710,4.5,1.0,5.0,0.5,4.5,1.0,1.5
000739.SZ,000739,2.0,3.0,1.5,2.5,3.5,2.0,1.0
000756.SZ,000756,2.5,3.5,1.5,3.0,4.0,3.0,2.0
000766.SZ,000766,1.5,1.5,3.0,1.5,1.5,1.0,1.0
000788.SZ,000788,1.5,1.5,1.5,2.5,3.5,1.5,1.5
000790.SZ,000790,0.5,1.0,1.5,0.5,2.0,1.5,1.5
000813.SZ,000813,4.5,0.5,5.0,0.5,4.5,2.0,2.5
000908.SZ,000908,2.0,2.5,2.0,1.5,1.5,3.0,2.5
000915.SZ,000915,4.0,3.5,4.0,1.0,2.0,4.0,2.0
000919.SZ,000919,2.5,1.5,3.5,1.0,3.0,3.5,1.0
000931.SZ,000931,1.0,2.0,1.5,2.5,2.0,0.5,2.5
000950.SZ,000950,,,,,,,
000952.SZ,000952,3.0,4.5,3.0,1.5,2.0,0.5,2.0
000963.SZ,000963,4.5,5.0,3.5,1.5,4.5,4.0,1.5
000989.SZ,000989,2.5,2.0,3.5,1.0,2.0,2.0,0.5
