证券代码,code,综合能力,盈利能力,偿债能力,成长能力,资产经营,市场表现,投资收益
000004.SZ,000004,★★☆,★☆,★☆,★★★★★,★★★★,★☆,★★
000028.SZ,000028,★★★★★,★★★★★,★★★★☆,★,★★★☆,★★★★★,★★☆
000078.SZ,000078,★★,★★★☆,☆,★★★★☆,★★★★,★★,★★★★☆
000150.SZ,000150,★★,★★★★,★☆,★★★☆,★,★★,★★★★
000153.SZ,000153,★★,★★★☆,★☆,★★★☆,★★★☆,★★☆,★★
000403.SZ,000403,★★,★★★☆,★★,★★☆,★★☆,☆,★★☆
000411.SZ,000411,★★★★,★★★★☆,★,★★★★☆,★★★★★,★★★★☆,★★★☆
000423.SZ,000423,★★★★★,★★★★★,★★★★★,☆,★,★★★★★,★☆
000513.SZ,000513,★★★★★,★★★★☆,★★★★★,☆,★☆,★★★★★,★★
000516.SZ,000516,★★★★★,★★★☆,★★★★★,☆,★★☆,☆,★★
000518.SZ,000518,★★★★☆,★,★★★,★★★★★,★,☆,☆
000538.SZ,000538,★★★★★,★★★★★,★★★★★,☆,★☆,★★★★★,★★
000566.SZ,000566,★☆,★★,★★,★★,★☆,★☆,★★★☆
000590.SZ,000590,☆,☆,★★,★★,★★,★☆,★★
000597.SZ,000597,★★,★★★☆,★,★★★★,★★☆,★★★,★★★★
000623.SZ,000623,★★★★★,★★★★,★★★★★,☆,☆,★★★★★,★☆
000638.SZ,000638,☆,★☆,☆,★★★,★☆,★,★★★★
000650.SZ,000650,★★★,★☆,★★★★,★,★★★★☆,★,★
000661.SZ,000661,★★★★★,★★★★★,★★★★★,☆,☆,★★★★★,★★★☆
000705.SZ,000705,★★,★★☆,★★,★★,★★★★,★★☆,☆
000710.SZ,000710,★★★★☆,★,★★★★★,☆,★★★★☆,★,★☆
000739.SZ,000739,★★,★★★,★☆,★★☆,★★★☆,★★,★
000756.SZ,000756,★★☆,★★★☆,★☆,★★★,★★★★,★★★,★★
000766.SZ,000766,★☆,★☆,★★★,★☆,★☆,★,★
000788.SZ,000788,★☆,★☆,★☆,★★☆,★★★☆,★☆,★☆
000790.SZ,000790,☆,★,★☆,☆,★★,★☆,★☆
000813.SZ,000813,★★★★☆,☆,★★★★★,☆,★★★★☆,★★,★★☆
000908.SZ,000908,★★,★★☆,★★,★☆,★☆,★★★,★★☆
000915.SZ,000915,★★★★,★★★☆,★★★★,★,★★,★★★★,★★
000919.SZ,000919,★★☆,★☆,★★★☆,★,★★★,★★★☆,★
000931.SZ,000931,★,★★,★☆,★★☆,★★,☆,★★☆
000950.SZ,000950,null,null,null,null,null,null,null
000952.SZ,000952,★★★,★★★★☆,★★★,★☆,★★,☆,★★
000963.SZ,000963,★★★★☆,★★★★★,★★★☆,★☆,★★★★☆,★★★★,★☆
000989.SZ,000989,★★☆,★★,★★★☆,★,★★,★★,☆
000999.SZ,000999,★★★★☆,★★★★★,★★★★,★,★★,★★★★★,★
002001.SZ,002001,★★★★☆,★★★★☆,★★★★★,☆,★,★★,★☆
002007.SZ,002007,★★★★☆,★☆,★★★★★,☆,★★★,★,★★
002019.SZ,002019,★★★☆,★★★☆,★★★★,★,★☆,★★,★
002020.SZ,002020,★★★,★★,★★★☆,★,★★,★☆,★
002022.SZ,002022,★★★,★★☆,★★★☆,★☆,★★☆,★★,★☆
002030.SZ,002030,★☆,★☆,★★,★★★,★★,☆,★★★
002038.SZ,002038,★★★★★,☆,★★★★★,☆,★★★★☆,★★★☆,★★★★
002044.SZ,002044,★★☆,★★★,★☆,★★★★☆,★★☆,☆,★★☆
002099.SZ,002099,★☆,★☆,★★★,★☆,★,★,★☆
002102.SZ,002102,★★★,★★★☆,★★,★★★★,★★★★★,★★,☆
002107.SZ,002107,★,★,★☆,★☆,★★★☆,★☆,★☆
002118.SZ,002118,★★,★★★,★★,★★,☆,★,★★★☆
002166.SZ,002166,★,★★★,★☆,★★,☆,☆,★★★
002173.SZ,002173,★★,★★,★★★☆,★,☆,★★☆,★☆
002198.SZ,002198,,,,,,,
002219.SZ,002219,,,,,,,
002223.SZ,002223,,,,,,,
002252.SZ,002252,,,,,,,
002262.SZ,002262,,,,,,,
002275.SZ,002275,,,,,,,
002287.SZ,002287,,,,,,,
002294.SZ,002294,,,,,,,
002317.SZ,002317,,,,,,,
002332.SZ,002332,,,,,,,
002349.SZ,002349,,,,,,,
002365.SZ,002365,,,,,,,
002370.SZ,002370,,,,,,,
002382.SZ,002382,,,,,,,
002390.SZ,002390,,,,,,,
002393.SZ,002393,,,,,,,
002399.SZ,002399,,,,,,,
002411.SZ,002411,,,,,,,
002412.SZ,002412,,,,,,,
002422.SZ,002422,,,,,,,
002424.SZ,002424,,,,,,,
002432.SZ,002432,,,,,,,
002433.SZ,002433,,,,,,,
002435.SZ,002435,,,,,,,
002437.SZ,002437,,,,,,,
002462.SZ,002462,,,,,,,
002550.SZ,002550,,,,,,,
002551.SZ,002551,,,,,,,
002562.SZ,002562,,,,,,,
002566.SZ,002566,,,,,,,
002581.SZ,002581,,,,,,,
002589.SZ,002589,,,,,,,
002603.SZ,002603,,,,,,,
002626.SZ,002626,,,,,,,
002644.SZ,002644,,,,,,,
002653.SZ,002653,,,,,,,
002675.SZ,002675,,,,,,,
002680.SZ,002680,,,,,,,
002688.SZ,002688,,,,,,,
002693.SZ,002693,,,,,,,
002727.SZ,002727,,,,,,,
002728.SZ,002728,,,,,,,
002737.SZ,002737,,,,,,,
002750.SZ,002750,,,,,,,
002755.SZ,002755,,,,,,,
002758.SZ,002758,,,,,,,
